#poly,groundtruth
-8*~y*(x&y)-8*~y*(x&~y)+10*~y*x+3*~y*~(x|y)+8*(x^y)*(x&y)+8*(x^y)*(x&~y)-10*(x^y)*x-3*(x^y)*~(x|y)-3*~y*(x|~y)-1*~y*~x+3*(x^y)*(x|~y)+1*(x^y)*~x,1*~y-1*(x^y)
3*(x&y)*(x&y)-3*(x&y)*(x&~y)-6*(x&y)*~(x|y)-12*(x&y)*~(x|~y)+1*~(x&y)*(x&y)+5*~(x&y)*(x&~y)-6*~(x&y)*(x|~y)+2*~(x&y)*y+6*~(x&y)*~(x|y)-6*(x&y)*~(x^y)+9*(x&y)*~x+2*~(x&y)*~(x^y)-3*~(x&y)*~x,3*(x&y)+1*~(x&y)
-34*~y*(x&y)-36*~y*(x&~y)+12*~y*~(x&y)+10*~y*~(x^y)-24*~y*~(x|y)-36*~y*~(x|~y)+17*y*(x&y)+18*y*(x&~y)-6*y*~(x&y)-5*y*~(x^y)+12*y*~(x|y)+18*y*~(x|~y)+22*~y*(x|y)-11*y*(x|y),2*~y-1*y
10*x*(x&y)+10*x*(x&~y)-13*x*~(x|y)-13*x*~(x|~y)+12*x*~x+4*~(x|~y)*(x&y)+4*~(x|~y)*(x&~y)+20*~(x|~y)*~(x&~x)-22*~(x|~y)*~(x|y)-22*~(x|~y)*~(x|~y)+4*~(x|~y)*~x-11*x*x-22*~(x|~y)*x,1*x-2*~(x|~y)
-15*(x&y)*(x&y)-20*(x&y)*(x^y)-25*(x&y)*~(x&y)+10*(x&y)*~(x|y)-12*~(x|y)*(x&y)-16*~(x|y)*(x^y)-20*~(x|y)*~(x&y)+8*~(x|y)*~(x|y)+40*(x&y)*(x&~y)+10*(x&y)*~(x&~y)+30*(x&y)*~(x|~y)+32*~(x|y)*(x&~y)+8*~(x|y)*~(x&~y)+24*~(x|y)*~(x|~y),5*(x&y)+4*~(x|y)
-6*(x^y)*(x&y)-7*(x^y)*(x&~y)+5*(x^y)*(x|~y)-2*(x^y)*~(x|~y)+12*(x&~y)*(x&y)+14*(x&~y)*(x&~y)-10*(x&~y)*(x|~y)+4*(x&~y)*~(x|~y)+1*(x^y)*~(x&y)-7*(x^y)*~(x|y)-2*(x&~y)*~(x&y)+14*(x&~y)*~(x|y),1*(x^y)-2*(x&~y)
27*(x&y)*(x&y)-27*(x&y)*(x&~y)-27*(x&y)*~(x|y)+27*(x&y)*~(x|~y)+407*y*(x&y)+231*y*(x&~y)-242*y*~(x&~x)-110*y*~(x&~y)+341*y*~(x|y)+407*y*~(x|~y)-36*(x&y)*y+18*(x&y)*~y-44*y*y+22*y*~y,9*(x&y)-11*y
2*~x*(x&y)-20*~x*(x&~y)-4*~x*(x|~y)-2*~x*~(x|~y)+3*(x&~y)*(x&y)+14*(x&~y)*(x&~y)-4*(x&~y)*x-1*(x&~y)*~(x|~y)-20*~x*~(x|y)+22*~x*~y+10*(x&~y)*~(x|y)-11*(x&~y)*~y,2*~x+1*(x&~y)
-11*y*(x&~y)+1*y*x-10*y*~(x|y)-10*y*~(x|~y)+11*x*(x&~y)-1*x*x+10*x*~(x|y)+10*x*~(x|~y)+11*y*~(x&y)-11*x*~(x&y),-1*y+1*x
30*(x^y)*(x&y)+28*(x^y)*(x&~y)-28*(x^y)*(x|y)+2*(x^y)*~(x|y)+32*(x^y)*~(x|~y)-3*y*(x&y)-2*y*(x&~y)+2*y*y-1*y*~(x|y)-2*y*~(x|~y)+2*(x^y)*(x|~y)-2*(x^y)*~(x&~y)+1*y*(x|~y)-1*y*~(x&~y),-2*(x^y)+1*y
-55*x*(x&y)+80*x*(x&~y)+70*x*y-70*x*~(x&y)+85*x*~(x|y)+20*x*~(x|~y)-22*~(x|~y)*(x&y)+32*~(x|~y)*(x&~y)+28*~(x|~y)*y-28*~(x|~y)*~(x&y)+34*~(x|~y)*~(x|y)+8*~(x|~y)*~(x|~y)-5*x*(x^y)-10*x*~(x&~y)-2*~(x|~y)*(x^y)-4*~(x|~y)*~(x&~y),-5*x-2*~(x|~y)
