#linear,groundtruth
-1*y+1*~(x|y)+1*(x&y),1*~y-1*(x^y)
3*x+1*~x-2*(x&~y),3*(x&y)+1*~(x&y)
2*~(x&~x)-3*~(x|~y)-3*(x&y),2*~y-1*y
4*(x|y)-6*(x^y)+3*(x&~y)-3*(x&y),1*x-2*~(x|~y)
-1*~(x&~y)+5*~(x^y)+1*(x|y)-1*(x&~y),5*(x&y)+4*~(x|y)
1*~(x&~y)-1*(x|y)-1*~(x|y)+1*~(x|~y),1*(x^y)-2*(x&~y)
-11*~x-2*(x|~y)+13*~(x|y)+2*(x&~y),9*(x&y)-11*y
1*~(x&~x)-1*y+1*~(x|y)+2*~(x|~y),2*~x+1*(x&~y)
-1*~(x&~y)+1*~(x|y)+1*(x&~y)+1*(x&y),-1*y+1*x
1*(x|~y)+2*~x-3*~(x&~x)+3*(x&y),-2*(x^y)+1*y
-1*(x^y)-1*(x|y)-3*(x&~y)-4*(x&y),-5*x-2*~(x|~y)
-2*x-1*(x|~y)-2*~x+3*~(x|y)+3*(x&y),-3*(x&~y)-2*~(x|~y)
7*~y-1*x+3*~(x|~y)+1*(x&~y)+11*(x&y),3*y+7*(x|~y)
7*y+1*x-8*~(x|~y)-2*(x&~y)-8*(x&y),-1*(x^y)
5*~(x^y)-11*x-6*~(x&y)+1*~x+6*(x&y),-17*(x&~y)-5*~(x|~y)
5*y+1*~(x&~y)-1*~(x|y)-17*~(x|~y)-17*(x&y),-11*(x|y)+11*(x&~y)
-1*~(x&~y)+7*~x-7*~(x&y)+1*~y+6*(x&~y),-1*y
1*~(x&~x)+3*~x-11*~(x|y)-4*~(x|~y)-1*(x&y),-7*~y+8*(x&~y)
1*~(x&~y)-7*(x|~y)-1*(x^y)+6*~(x|y)+8*(x&~y),-6*(x&y)
3*(x|~y)-3*~(x&y)-1*~(x|y)+2*~(x|~y)-4*(x&y),-1*~(x&~y)
3*(x|y)+1*x-1*~(x&y)-4*(x&~y)-5*(x&y),-1*(x|~y)+2*~(x|~y)
3*~y+1*x-3*~(x|y)-1*~(x|~y)-4*(x&~y),-1*y+2*(x&y)
