#mbaexpression, originalexpression
((c-b)-((c|~b)+(c|~b)))-2, (c^b)
~(((e&c)*(e|c)+(e&~c)*(~e&c))-1), (-(e*c))
(~a|b)-~a, (a&b)
~(~(((e&a)*(e|a)+(e&~a)*(~e&a))-1))+1, (-(-(e*a)))
((c-a)-((c|~a)+(c|~a)))-2, (c^a)
((-(-d-1)-1)^a)+(((-(-d-1)-1)&a)+((-(-d-1)-1)&a)), ((~(~d))+a)
e+1, (-(~e))
(d^c)-((~d&c)+(~d&c)), (d-c)
(c&~a)+a, (c|a)
((d^d)+((d&d)+(d&d)))+1, (-(~(d+d)))
(((-a-1)&~e)*2)-((-a-1)^e), ((~a)-e)
((d-((b&d)*(b|d)+(b&~d)*(~b&d)))-((d|~((b&d)*(b|d)+(b&~d)*(~b&d)))+(d|~((b&d)*(b|d)+(b&~d)*(~b&d)))))-2, (d^(b*d))
(c&~a)-(~c&a), (c-a)
(((a&c)*(a|c)+(a&~c)*(~a&c))^c)-((~((a&c)*(a|c)+(a&~c)*(~a&c))&c)*2), ((a*c)-c)
(((-(-a-1)-1)+e)+1)+((-(-(-a-1)-1)-1)|(-e-1)), ((~(~a))|e)
(b|c)+(b&c), (b+c)
((-c-1)&a)*((-c-1)|a)+((-c-1)&~a)*(~(-c-1)&a), ((~c)*a)
(e|((d+~c)+1))-(e&((d+~c)+1)), (e^(d-c))
(a&~b)+b, (a|b)
((b+e)+1)+((-b-1)|(-e-1)), (b|e)
((a^~a)+((a|a)*2))+1, (a+a)
(c&~((a|c)-(a&c)))+((a|c)-(a&c)), (c|(a^c))
((~d+1)^e)-((~(~d+1)&e)+(~(~d+1)&e)), ((-d)-e)
((a|a)*2)-(a^a), (a+a)
(e-~c)-1, (e+c)
(d&c)*(d|c)+(d&~c)*(~d&c), (d*c)
(d&~((c&a)*(c|a)+(c&~a)*(~c&a)))+((c&a)*(c|a)+(c&~a)*(~c&a)), (d|(c*a))
(d&~b)-(~d&b), (d-b)
((~a|d)+a)+1, (a&d)
~((c|b)-(c&b))+1, (-(c^b))
(~d|e)-~d, (d&e)
(d+~e)+1, (d-e)
(a|(-d-1))+(a&(-d-1)), (a+(~d))
~(((~d|a)-~d)-1), (-(d&a))
~((c|a)+(c&a))+1, (-(c+a))
((a-d)-((a|~d)+(a|~d)))-2, (a^d)
((b^~e)+((b|e)+(b|e)))+1, (b+e)
(c&~d)+d, (c|d)
(c+~((e&b)*(e|b)+(e&~b)*(~e&b)))+1, (c-(e*b))
-(((d+a)+1)+((-d-1)|(-a-1)))-1, (~(d|a))
(b&e)*(b|e)+(b&~e)*(~b&e), (b*e)
(((b^a)+((b&a)+(b&a)))&~e)-(~((b^a)+((b&a)+(b&a)))&e), ((b+a)-e)
((b&~d)+(b&~d))-(b^d), (b-d)
(c|d)+(c&d), (c+d)
((b+c)+1)+((-b-1)|(-c-1)), (b|c)
(a^((e&c)*(e|c)+(e&~c)*(~e&c)))+((a&((e&c)*(e|c)+(e&~c)*(~e&c)))*2), (a+(e*c))
(~(c-1)|e)-~(c-1), ((~(-c))&e)
(((~d+1)|(-b-1))+((~d+1)|(-b-1)))-((~d+1)^(-b-1)), ((-d)+(~b))
((d^~d)+((d|d)*2))+1, (d+d)
((~b|(((d&~e)*2)-(d^e)))+b)+1, (b&(d-e))
(b&c)*(b|c)+(b&~c)*(~b&c), (b*c)
((((d^~c)+((d|c)+(d|c)))+1)&~d)+d, ((d+c)|d)
(d&~(~d+1))-(~d&(~d+1)), (d-(-d))
(d|a)-(d&a), (d^a)
(d&b)*(d|b)+(d&~b)*(~d&b), (d*b)
(d+~((b&d)*(b|d)+(b&~d)*(~b&d)))+1, (d-(b*d))
(a+~(~a+1))+1, (a-(-a))
((e+(((~c|e)+c)+1))+1)+((-e-1)|(-(((~c|e)+c)+1)-1)), (e|(c&e))
((b+d)+1)+((-b-1)|(-d-1)), (b|d)
(d^a)+((d&a)*2), (d+a)
((b^~d)+((b|d)+(b|d)))+1, (b+d)
((d-c)-((d|~c)*2))-2, (d^c)
a-1, (~(-a))
b-1, (~(-b))
((((~e|b)+e)+1)&d)*((((~e|b)+e)+1)|d)+((((~e|b)+e)+1)&~d)*(~(((~e|b)+e)+1)&d), ((e&b)*d)
((e-c)-((e|~c)+(e|~c)))-2, (e^c)
(((c-~e)-1)&c)*(((c-~e)-1)|c)+(((c-~e)-1)&~c)*(~((c-~e)-1)&c), ((c+e)*c)
((c-((c&a)*(c|a)+(c&~a)*(~c&a)))-((c|~((c&a)*(c|a)+(c&~a)*(~c&a)))*2))-2, (c^(c*a))
(e&~(-d-1))+(-d-1), (e|(~d))
(d&a)*(d|a)+(d&~a)*(~d&a), (d*a)
